,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,Studio,2+ BEDS,3 BEDS,4 BEDS
0,Terrace Oaks,https://www.rentcafe.com/apartments/nc/greensboro/terrace-oaks0/default.aspx,3803 Cotswold Ave.,Greensboro,NC,,27410,Ask for pricing,"$1,315",,,,
1,Westwood Park,https://www.rentcafe.com/apartments/nc/cary/westwood-park0/default.aspx,600 Glendon Way,Cary,NC,,27519,Ask for pricing,"$1,315",,,,
2,Silos South End,https://www.rentcafe.com/apartments/nc/charlotte/silos-south-end/default.aspx,131 Poindexter Drive,Charlotte,NC,4.00,28203,"$1,750+","$1,315","$1,735+","$2,575+",,
3,Patriots Pointe,https://www.rentcafe.com/apartments/nc/hillsborough/patriots-pointe-1/default.aspx,100 Patriots Pointe Drive,Hillsborough,NC,4.00,27278,"$1,437+","$1,621+","$1,735+","$2,575+","$1,568+",
4,Marshall Park Apartments + Townhomes,https://www.rentcafe.com/apartments/nc/raleigh/marshall-park-apartments-townhomes-0/default.aspx,3950 Fairsted Dr,Raleigh,NC,5.00,27612,"$1,495+","$1,870+","$1,735+","$2,575+","$2,730+",
5,Clairmont At Trinity,https://www.rentcafe.com/apartments/nc/raleigh/5700-trinity-road-raleigh-nc-276070/default.aspx,1601 Medlin Creek Loop,Raleigh,NC,5.00,27607,"$1,301+","$1,909+","$1,735+","$2,575+","$2,730+",
6,Arlington West Apartments,https://www.rentcafe.com/apartments/nc/greenville/arlington-west-apartments/default.aspx,1604 W Arlington Blvd # 1,Greenville,NC,5.00,27834,$850+,$995+,"$1,735+","$2,575+","$2,730+",
7,Mariners Crossing,https://www.rentcafe.com/apartments/nc/raleigh/mariners-crossing/default.aspx,5723 Magellan Way,Raleigh,NC,5.00,27612,"$1,414+","$1,517+","$1,735+","$2,575+","$1,801+",
8,Stone Ridge,https://www.rentcafe.com/apartments/nc/charlotte/stone-ridge-8/default.aspx,8940 Camden Creek Lane,Charlotte,NC,5.00,28273,"$1,314+","$1,510+","$1,735+","$2,575+",Ask for pricing,
9,6122 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6122-hunter-ave/default.aspx,6122 Hunter Ave,Charlotte,NC,5.00,28262,"$1,314+","$1,510+","$1,735+","$2,575+",Ask for pricing,"$2,149"
10,Copperfield Apartments,https://www.rentcafe.com/apartments/nc/new-bern/copperfield-apartments-0/default.aspx,4016 Copperfield Dr #76,New Bern,NC,4.00,28562,$829+,$889+,"$1,735+","$2,575+",Ask for pricing,"$2,149"
11,Elmshire,https://www.rentcafe.com/apartments/nc/raleigh/elmshire0/default.aspx,7810 Elmshire Way,Raleigh,NC,4.00,27616,$829+,$889+,"$1,735+","$2,575+","$1,590","$2,149"
12,The Gregory North And South Apartment Homes,https://www.rentcafe.com/apartments/nc/cary/the-gregory/default.aspx,100 Northwoods Village Dr,Cary,NC,4.00,27513,"$1,071+","$1,271+","$1,735+","$2,575+","$1,869+","$2,149"
13,The Address Galleria,https://www.rentcafe.com/apartments/nc/matthews/the-address-galleria/default.aspx,10315 Monrovia Dr,Matthews,NC,4.00,28105,"$1,465","$1,845","$1,735+","$2,575+","$2,265","$2,149"
14,Elizabeth Square Apartments,https://www.rentcafe.com/apartments/nc/charlotte/elizabeth-square/default.aspx,730 Hawthorne Lane,Charlotte,NC,5.00,28204,"$1,501+","$1,845",Ask for pricing,"$2,325+","$2,265","$2,149"
15,Legacy At Baldwin Ridge Apartments,https://www.rentcafe.com/apartments/nc/burlington/legacy-at-baldwin-ridge-apartments/default.aspx,1055 Baldwin Ridge Rd.,Burlington,NC,5.00,27217,"$1,299+","$1,250+",Ask for pricing,"$2,325+","$1,999","$2,149"
16,Waterford 4000 Ltd Partnership,https://www.rentcafe.com/apartments/nc/hickory/waterford-4000-ltd-partnership/default.aspx,4000 North Center Street,Hickory,NC,5.00,28601,"$1,000",Ask for pricing,Ask for pricing,"$2,325+",Ask for pricing,"$2,149"
17,Bridges At North Hills,https://www.rentcafe.com/apartments/nc/raleigh/willow-creek5/default.aspx,6625 Lake Hill Drive,Raleigh,NC,3.50,27609,"$1,013+","$1,129+",$923+,"$2,325+",Ask for pricing,"$2,149"
18,Ascent At Mallard Creek Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/ascent-at-mallard-creek/default.aspx,2506 Hope Way Lane,Charlotte,NC,3.50,28262,"$1,465+","$1,669+",$923+,"$2,325+","$1,899","$2,149"
19,The Station At Poplar Tent,https://www.rentcafe.com/apartments/nc/concord/station-at-poplar-tent/default.aspx,50 Poplar Station Circle NW,Concord,NC,3.50,28027,Ask for pricing,"$1,390+",$923+,"$2,325+",Ask for pricing,"$2,149"
20,Summit Village Apartments,https://www.rentcafe.com/apartments/nc/greensboro/summit-village-apartments-0/default.aspx,199 Wind Road,Greensboro,NC,3.00,27405,Ask for pricing,"$1,390+",$923+,"$2,325+",Ask for pricing,"$2,149"
21,The Flats At 55 Twelve,https://www.rentcafe.com/apartments/nc/durham/the-flats-at-55-twelve/default.aspx,5512 Sunlight Dr,Durham,NC,4.50,27707,"$1,229+","$1,551+",$923+,"$2,325+","$1,847+","$2,149"
22,Windsor Harbor,https://www.rentcafe.com/apartments/nc/charlotte/windsor-harbor-0/default.aspx,3217 Shamrock Dr,Charlotte,NC,4.50,28215,Ask for pricing,Ask for pricing,$923+,"$2,325+","$1,590","$2,149"
23,Lancaster Commons North,https://www.rentcafe.com/apartments/nc/durham/pepsi-senior-living/default.aspx,2709 Western Bypass,Durham,NC,4.50,27705,Ask for pricing,Ask for pricing,$923+,"$2,325+","$1,590","$2,149"
24,Irving Park Condominiums LLC,https://www.rentcafe.com/apartments/nc/403-w-fisher-ave/irving-park-condominiums-llc/default.aspx,Irving Park Condominiums LLC,403 W Fisher Ave,NC,3.00,27401,Ask for pricing,"$1,195",$923+,"$2,325+","$1,650","$1,650"
25,146 Pumice Dr,https://www.rentcafe.com/apartments/nc/statesville/146-pumice-dr/default.aspx,146 Pumice Dr,Statesville,NC,3.00,28625,Ask for pricing,"$1,195",$923+,"$2,325+","$1,650","$1,949"
26,1701 North Apartments,https://www.rentcafe.com/apartments/nc/chapel-hill/1701-north-apartments/default.aspx,1701-101 Martin Luther King Jr. Blvd,Chapel Hill,NC,3.00,27514,Ask for pricing,"$1,195",$923+,"$2,325+","$1,650","$1,949"
27,North Oaks Landing,https://www.rentcafe.com/apartments/nc/raleigh/north-oaks-landing0/default.aspx,2038 Quail Forest Dr,Raleigh,NC,3.00,27609,"$1,216+","$1,700",$923+,"$2,325+","$1,845+","$1,949"
28,Pointe At Prosperity Village Apartments,https://www.rentcafe.com/apartments/nc/charlotte/prosperity-point-apartments/default.aspx,7304 Brice Knoll Lane,Charlotte,NC,4.00,28269,"$1,405+","$1,885+",$923+,"$2,325+","$2,400+","$1,949"
29,Crown Ridge,https://www.rentcafe.com/apartments/nc/shelby/crown-ridge0/default.aspx,1635 S Dekalb St,Shelby,NC,4.00,28152,Ask for pricing,Ask for pricing,$923+,"$2,325+","$1,125+","$1,949"
30,Spring Forest,https://www.rentcafe.com/apartments/nc/raleigh/spring-forest-0/default.aspx,5014 Sedgewick Dr.,Raleigh,NC,4.50,27616,"$1,141+","$1,287+",$923+,"$2,325+","$1,737+","$1,949"
31,Kings Cross Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/kings-cross-apartments/default.aspx,5725 Ivanhoe Court,Fayetteville,NC,3.00,28314,$950,Ask for pricing,$923+,"$2,325+",Ask for pricing,"$1,949"
32,Highland Mill Lofts,https://www.rentcafe.com/apartments/nc/charlotte/highland-mill-lofts/default.aspx,2901 N Davidson St,Charlotte,NC,3.00,28205,"$1,646+","$1,968+",$923+,"$2,325+",Ask for pricing,"$1,949"
33,Wellington Farms,https://www.rentcafe.com/apartments/nc/charlotte/wellington-farms/default.aspx,4700 Twisted Oaks Rd,Charlotte,NC,3.50,28212,$990+,"$1,195",$923+,"$2,325+",Ask for pricing,"$1,949"
34,Chesney Woods Townhomes,https://www.rentcafe.com/apartments/nc/concord/chesney-woods/default.aspx,"260 Brookwood Ave NE, #2A",Concord,NC,4.00,28025,$990+,"$1,300",$923+,"$2,325+",Ask for pricing,"$1,949"
35,Hawthorne Davis Park,https://www.rentcafe.com/apartments/nc/morrisville/hawthorne-davis-park/default.aspx,4407 Hopson Road,Morrisville,NC,4.00,27560,"$1,427+","$1,493+",$923+,"$2,325+","$1,640+","$1,949"
36,Brea Wendell Falls,https://www.rentcafe.com/apartments/nc/wendell/brea-wendell-falls0/default.aspx,5809 Taylor Road,Wendell,NC,4.00,27591,"$1,494+","$1,864+",$923+,"$2,325+","$1,998+","$1,949"
37,Bell Meadowmont,https://www.rentcafe.com/apartments/nc/chapel-hill/bell-meadowmont/default.aspx,100 Village Crossing Drive,Chapel Hill,NC,5.00,27517,"$1,895+","$2,125+",$923+,"$2,325+","$2,685+","$1,949"
38,2189 Bayside Street SW,https://www.rentcafe.com/apartments/nc/supply/2189-bayside-street-sw/default.aspx,2189 Bayside Street SW,Supply,NC,5.00,28462,"$1,895+","$2,125+",$923+,"$2,325+","$2,685+","$1,799"
39,The Villages At McCullers Walk,https://www.rentcafe.com/apartments/nc/raleigh/the-villages-at-mccullers-walk-0/default.aspx,500 Shady Summit Way,Raleigh,NC,4.00,27603,"$1,421+","$1,736+",$923+,"$2,325+","$2,021+","$1,799"
40,Ashley Park Apartments,https://www.rentcafe.com/apartments/nc/raleigh/ashley-park-apartments/default.aspx,10300 Pine Lakes Court,Raleigh,NC,4.00,27617,"$1,399+","$1,600+",$923+,"$2,325+","$1,955+","$1,799"
41,5400 Quail Creek Court,https://www.rentcafe.com/apartments/nc/raleigh/5400-quail-creek-court/default.aspx,5400 Quail Creek Court,Raleigh,NC,3.50,27609,"$1,399+","$1,075",$923+,"$2,325+","$1,955+","$1,799"
42,6202 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6202-hunter-ave/default.aspx,6202 Hunter Ave,Charlotte,NC,3.50,28262,"$1,399+","$1,075",$923+,"$2,325+","$1,955+","$2,149"
43,Kings Pointe Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/kings-pointe-apartments/default.aspx,230 Sawtooth Drive,Fayetteville,NC,3.00,28314,$985+,$899,$923+,"$2,325+","$2,335","$2,149"
44,Lake In The Pines,https://www.rentcafe.com/apartments/nc/fayetteville/lake-in-the-pines/default.aspx,848 Tamarack Dr,Fayetteville,NC,3.00,28311,$845+,$847+,$795+,"$2,325+","$2,335","$2,149"
45,The Edge At West End,https://www.rentcafe.com/apartments/nc/durham/the-edge-at-west-end/default.aspx,1808 Chapel Hill Rd,Durham,NC,3.00,27707,Ask for pricing,"$1,200",$795+,"$2,325+","$2,335","$2,149"
46,Hawthorne At Pine Forest*,https://www.rentcafe.com/apartments/nc/oak-island/hawthorne-at-pine-forest-0/default.aspx,1045 Woodsia Way,Oak Island,NC,3.00,28461,"$1,300+","$1,682+",$795+,"$2,325+","$1,949+","$2,149"
47,Berewick Pointe Apartments,https://www.rentcafe.com/apartments/nc/charlotte/berewick-pointe/default.aspx,9550 Gannon Drive,Charlotte,NC,4.50,28278,"$1,525+","$1,710+",$795+,"$2,325+","$2,220+","$2,149"
48,Highland Vista,https://www.rentcafe.com/apartments/nc/creedmoor/highland-vista0/default.aspx,320 Hidden Valley Dr,Creedmoor,NC,3.50,27522,"$1,100","$1,200+",$795+,"$2,325+",Ask for pricing,"$2,149"
49,Thornberry,https://www.rentcafe.com/apartments/nc/charlotte/thornberry/default.aspx,9920 Brickleberry Ln,Charlotte,NC,4.50,28262,"$1,407+","$1,471+",$795+,"$2,325+","$1,777+","$2,149"
50,Terrace Oaks,https://www.rentcafe.com/apartments/nc/greensboro/terrace-oaks0/default.aspx,"3803 Cotswold Ave.,",Greensboro,NC,4.50,27410,Ask for pricing,"$1,315",$795+,"$2,325+","$1,777+","$2,149"
51,Westwood Park,https://www.rentcafe.com/apartments/nc/cary/westwood-park0/default.aspx,"600 Glendon Way,",Cary,NC,4.50,27519,Ask for pricing,"$1,315",$795+,"$2,325+","$1,777+","$2,149"
52,Silos South End,https://www.rentcafe.com/apartments/nc/charlotte/silos-south-end/default.aspx,"131 Poindexter Drive,",Charlotte,NC,4.50,28203,"$1,750+","$1,315","$1,735+","$2,575+","$1,777+","$2,149"
53,Patriots Pointe,https://www.rentcafe.com/apartments/nc/hillsborough/patriots-pointe-1/default.aspx,"100 Patriots Pointe Drive,",Hillsborough,NC,4.50,27278,"$1,437+","$1,621+","$1,735+","$2,575+","$1,568+","$2,149"
54,Marshall Park Apartments + Townhomes,https://www.rentcafe.com/apartments/nc/raleigh/marshall-park-apartments-townhomes-0/default.aspx,"3950 Fairsted Dr,",Raleigh,NC,4.50,27612,"$1,495+","$1,870+","$1,735+","$2,575+","$2,730+","$2,149"
55,Clairmont At Trinity,https://www.rentcafe.com/apartments/nc/raleigh/5700-trinity-road-raleigh-nc-276070/default.aspx,"1601 Medlin Creek Loop,",Raleigh,NC,4.50,27607,"$1,301+","$1,909+","$1,735+","$2,575+","$2,730+","$2,149"
56,Arlington West Apartments,https://www.rentcafe.com/apartments/nc/greenville/arlington-west-apartments/default.aspx,"1604 W Arlington Blvd # 1,",Greenville,NC,4.50,27834,$850+,$995+,"$1,735+","$2,575+","$2,730+","$2,149"
57,Mariners Crossing,https://www.rentcafe.com/apartments/nc/raleigh/mariners-crossing/default.aspx,"5723 Magellan Way,",Raleigh,NC,4.50,27612,"$1,414+","$1,517+","$1,735+","$2,575+","$1,801+","$2,149"
58,Stone Ridge,https://www.rentcafe.com/apartments/nc/charlotte/stone-ridge-8/default.aspx,"8940 Camden Creek Lane,",Charlotte,NC,4.50,28273,"$1,314+","$1,510+","$1,735+","$2,575+",Ask for pricing,"$2,149"
59,6122 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6122-hunter-ave/default.aspx,"6122 Hunter Ave,",Charlotte,NC,4.50,28262,"$1,314+","$1,510+","$1,735+","$2,575+",Ask for pricing,"$2,149"
60,Copperfield Apartments,https://www.rentcafe.com/apartments/nc/new-bern/copperfield-apartments-0/default.aspx,"4016 Copperfield Dr #76,",New Bern,NC,4.50,28562,$829+,$889+,"$1,735+","$2,575+",Ask for pricing,"$2,149"
61,Elmshire,https://www.rentcafe.com/apartments/nc/raleigh/elmshire0/default.aspx,"7810 Elmshire Way,",Raleigh,NC,4.50,27616,$829+,$889+,"$1,735+","$2,575+","$1,590","$2,149"
62,The Gregory North And South Apartment Homes,https://www.rentcafe.com/apartments/nc/cary/the-gregory/default.aspx,"100 Northwoods Village Dr,",Cary,NC,4.50,27513,"$1,071+","$1,271+","$1,735+","$2,575+","$1,869+","$2,149"
63,The Address Galleria,https://www.rentcafe.com/apartments/nc/matthews/the-address-galleria/default.aspx,"10315 Monrovia Dr,",Matthews,NC,4.50,28105,"$1,465","$1,845","$1,735+","$2,575+","$2,265","$2,149"
64,Elizabeth Square Apartments,https://www.rentcafe.com/apartments/nc/charlotte/elizabeth-square/default.aspx,"730 Hawthorne Lane,",Charlotte,NC,4.50,28204,"$1,501+","$1,845",Ask for pricing,"$2,325+","$2,265","$2,149"
65,Legacy At Baldwin Ridge Apartments,https://www.rentcafe.com/apartments/nc/burlington/legacy-at-baldwin-ridge-apartments/default.aspx,"1055 Baldwin Ridge Rd.,",Burlington,NC,4.50,27217,"$1,299+","$1,250+",Ask for pricing,"$2,325+","$1,999","$2,149"
66,Waterford 4000 Ltd Partnership,https://www.rentcafe.com/apartments/nc/hickory/waterford-4000-ltd-partnership/default.aspx,"4000 North Center Street,",Hickory,NC,4.50,28601,"$1,000",Ask for pricing,Ask for pricing,"$2,325+",Ask for pricing,"$2,149"
67,Bridges At North Hills,https://www.rentcafe.com/apartments/nc/raleigh/willow-creek5/default.aspx,"6625 Lake Hill Drive,",Raleigh,NC,4.50,27609,"$1,013+","$1,129+",$923+,"$2,325+",Ask for pricing,"$2,149"
68,Ascent At Mallard Creek Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/ascent-at-mallard-creek/default.aspx,"2506 Hope Way Lane,",Charlotte,NC,4.50,28262,"$1,465+","$1,669+",$923+,"$2,325+","$1,899","$2,149"
69,The Station At Poplar Tent,https://www.rentcafe.com/apartments/nc/concord/station-at-poplar-tent/default.aspx,"50 Poplar Station Circle NW,",Concord,NC,4.50,28027,Ask for pricing,"$1,390+",$923+,"$2,325+",Ask for pricing,"$2,149"
70,Summit Village Apartments,https://www.rentcafe.com/apartments/nc/greensboro/summit-village-apartments-0/default.aspx,"199 Wind Road,",Greensboro,NC,4.50,27405,Ask for pricing,"$1,390+",$923+,"$2,325+",Ask for pricing,"$2,149"
71,The Flats At 55 Twelve,https://www.rentcafe.com/apartments/nc/durham/the-flats-at-55-twelve/default.aspx,"5512 Sunlight Dr,",Durham,NC,4.50,27707,"$1,229+","$1,551+",$923+,"$2,325+","$1,847+","$2,149"
72,Windsor Harbor,https://www.rentcafe.com/apartments/nc/charlotte/windsor-harbor-0/default.aspx,"3217 Shamrock Dr,",Charlotte,NC,4.50,28215,Ask for pricing,Ask for pricing,$923+,"$2,325+","$1,590","$2,149"
73,Lancaster Commons North,https://www.rentcafe.com/apartments/nc/durham/pepsi-senior-living/default.aspx,"2709 Western Bypass,",Durham,NC,4.50,27705,Ask for pricing,Ask for pricing,$923+,"$2,325+","$1,590","$2,149"
74,Irving Park Condominiums LLC,https://www.rentcafe.com/apartments/nc/403-w-fisher-ave/irving-park-condominiums-llc/default.aspx,"Irving Park Condominiums LLC,",403 W Fisher Ave,NC,4.50,27401,Ask for pricing,"$1,195",$923+,"$2,325+","$1,650","$1,650"
75,146 Pumice Dr,https://www.rentcafe.com/apartments/nc/statesville/146-pumice-dr/default.aspx,"146 Pumice Dr,",Statesville,NC,4.50,28625,Ask for pricing,"$1,195",$923+,"$2,325+","$1,650","$1,949"
76,1701 North Apartments,https://www.rentcafe.com/apartments/nc/chapel-hill/1701-north-apartments/default.aspx,"1701-101 Martin Luther King Jr. Blvd,",Chapel Hill,NC,4.50,27514,Ask for pricing,"$1,195",$923+,"$2,325+","$1,650","$1,949"
77,North Oaks Landing,https://www.rentcafe.com/apartments/nc/raleigh/north-oaks-landing0/default.aspx,"2038 Quail Forest Dr,",Raleigh,NC,4.50,27609,"$1,216+","$1,700",$923+,"$2,325+","$1,845+","$1,949"
78,Pointe At Prosperity Village Apartments,https://www.rentcafe.com/apartments/nc/charlotte/prosperity-point-apartments/default.aspx,"7304 Brice Knoll Lane,",Charlotte,NC,4.50,28269,"$1,405+","$1,885+",$923+,"$2,325+","$2,400+","$1,949"
79,Crown Ridge,https://www.rentcafe.com/apartments/nc/shelby/crown-ridge0/default.aspx,"1635 S Dekalb St,",Shelby,NC,4.50,28152,Ask for pricing,Ask for pricing,$923+,"$2,325+","$1,125+","$1,949"
80,Spring Forest,https://www.rentcafe.com/apartments/nc/raleigh/spring-forest-0/default.aspx,"5014 Sedgewick Dr.,",Raleigh,NC,4.50,27616,"$1,141+","$1,287+",$923+,"$2,325+","$1,737+","$1,949"
81,Kings Cross Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/kings-cross-apartments/default.aspx,"5725 Ivanhoe Court,",Fayetteville,NC,4.50,28314,$950,Ask for pricing,$923+,"$2,325+",Ask for pricing,"$1,949"
82,Highland Mill Lofts,https://www.rentcafe.com/apartments/nc/charlotte/highland-mill-lofts/default.aspx,"2901 N Davidson St,",Charlotte,NC,4.50,28205,"$1,646+","$1,968+",$923+,"$2,325+",Ask for pricing,"$1,949"
83,Wellington Farms,https://www.rentcafe.com/apartments/nc/charlotte/wellington-farms/default.aspx,"4700 Twisted Oaks Rd,",Charlotte,NC,4.50,28212,$990+,"$1,195",$923+,"$2,325+",Ask for pricing,"$1,949"
84,Chesney Woods Townhomes,https://www.rentcafe.com/apartments/nc/concord/chesney-woods/default.aspx,"260 Brookwood Ave NE, #2A,",Concord,NC,4.50,28025,$990+,"$1,300",$923+,"$2,325+",Ask for pricing,"$1,949"
85,Hawthorne Davis Park,https://www.rentcafe.com/apartments/nc/morrisville/hawthorne-davis-park/default.aspx,"4407 Hopson Road,",Morrisville,NC,4.50,27560,"$1,427+","$1,493+",$923+,"$2,325+","$1,640+","$1,949"
86,Brea Wendell Falls,https://www.rentcafe.com/apartments/nc/wendell/brea-wendell-falls0/default.aspx,"5809 Taylor Road,",Wendell,NC,4.50,27591,"$1,494+","$1,864+",$923+,"$2,325+","$1,998+","$1,949"
87,Bell Meadowmont,https://www.rentcafe.com/apartments/nc/chapel-hill/bell-meadowmont/default.aspx,"100 Village Crossing Drive,",Chapel Hill,NC,4.50,27517,"$1,895+","$2,125+",$923+,"$2,325+","$2,685+","$1,949"
88,2189 Bayside Street SW,https://www.rentcafe.com/apartments/nc/supply/2189-bayside-street-sw/default.aspx,"2189 Bayside Street SW,",Supply,NC,4.50,28462,"$1,895+","$2,125+",$923+,"$2,325+","$2,685+","$1,799"
89,The Villages At McCullers Walk,https://www.rentcafe.com/apartments/nc/raleigh/the-villages-at-mccullers-walk-0/default.aspx,"500 Shady Summit Way,",Raleigh,NC,4.50,27603,"$1,421+","$1,736+",$923+,"$2,325+","$2,021+","$1,799"
90,Ashley Park Apartments,https://www.rentcafe.com/apartments/nc/raleigh/ashley-park-apartments/default.aspx,"10300 Pine Lakes Court,",Raleigh,NC,4.50,27617,"$1,399+","$1,600+",$923+,"$2,325+","$1,955+","$1,799"
91,5400 Quail Creek Court,https://www.rentcafe.com/apartments/nc/raleigh/5400-quail-creek-court/default.aspx,"5400 Quail Creek Court,",Raleigh,NC,4.50,27609,"$1,399+","$1,075",$923+,"$2,325+","$1,955+","$1,799"
92,6202 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6202-hunter-ave/default.aspx,"6202 Hunter Ave,",Charlotte,NC,4.50,28262,"$1,399+","$1,075",$923+,"$2,325+","$1,955+","$2,149"
93,Kings Pointe Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/kings-pointe-apartments/default.aspx,"230 Sawtooth Drive,",Fayetteville,NC,4.50,28314,$985+,$899,$923+,"$2,325+","$2,335","$2,149"
94,Lake In The Pines,https://www.rentcafe.com/apartments/nc/fayetteville/lake-in-the-pines/default.aspx,"848 Tamarack Dr,",Fayetteville,NC,4.50,28311,$845+,$847+,$795+,"$2,325+","$2,335","$2,149"
95,The Edge At West End,https://www.rentcafe.com/apartments/nc/durham/the-edge-at-west-end/default.aspx,"1808 Chapel Hill Rd,",Durham,NC,4.50,27707,Ask for pricing,"$1,200",$795+,"$2,325+","$2,335","$2,149"
96,Hawthorne At Pine Forest*,https://www.rentcafe.com/apartments/nc/oak-island/hawthorne-at-pine-forest-0/default.aspx,"1045 Woodsia Way,",Oak Island,NC,4.50,28461,"$1,300+","$1,682+",$795+,"$2,325+","$1,949+","$2,149"
97,Berewick Pointe Apartments,https://www.rentcafe.com/apartments/nc/charlotte/berewick-pointe/default.aspx,"9550 Gannon Drive,",Charlotte,NC,4.50,28278,"$1,525+","$1,710+",$795+,"$2,325+","$2,220+","$2,149"
98,Highland Vista,https://www.rentcafe.com/apartments/nc/creedmoor/highland-vista0/default.aspx,"320 Hidden Valley Dr,",Creedmoor,NC,4.50,27522,"$1,100","$1,200+",$795+,"$2,325+",Ask for pricing,"$2,149"
99,Thornberry,https://www.rentcafe.com/apartments/nc/charlotte/thornberry/default.aspx,"9920 Brickleberry Ln,",Charlotte,NC,4.50,28262,"$1,407+","$1,471+",$795+,"$2,325+","$1,777+","$2,149"
